,export,import
2023-01,412283.86363636365,5045.0
2023-02,332991.7727272727,5407.590909090909
2023-03,2085002544.0,1947585088.9545455
2023-04,1860912093.0,1697240498.090909
2023-05,1986914316.5454545,1796908410.090909
2023-06,2061213704.7272727,1794254567.409091
2023-07,1944772689.3181818,1713926058.6363637
2023-08,2019367428.8636363,1687414347.8636363
2023-09,377787.2727272727,9939.227272727272
2023-10,417191.63636363635,7480.363636363636
2023-11,501968.36363636365,6789.909090909091
2023-12,403616.45454545453,7624.5
2024-01,370384.7272727273,4237.954545454545
